STATES/UTs,NEW LIVES COVERED,CLAIMS PAID - NO,CLAIMS PAID - AMOUNT(000'S),SCHOLARSHIP DISBURSEMENT - NO,SCHOLARSHIP DISBURSEMENT - AMOUNT(Absolute),Qtr Ending Date
ANDHRA PRADESH,8434213,20915,683667.5,842687,120705600,31-Mar-14
ARUNACHAL PRADESH,12469,0,0,0,0,31-Mar-14
ASSAM,173263,151,9510,2659,1595400,31-Mar-14
BIHAR,232337,304,9315,133,79800,31-Mar-14
CHANDIGARH,16430,0,0,0,0,31-Mar-14
CHHATTISGARH,955918,360,9121,26305,15783000,31-Mar-14
DELHI,31291,11,495,0,0,31-Mar-14
GOA,45598,17,510,529,317400,31-Mar-14
GUJARAT,1003086,828,27403.5,93726,56236000,31-Mar-14
HARYANA,58039,30,1135,1544,1731600,31-Mar-14
HIMACHAL PRADESH,40906,15,630,711,675300,31-Mar-14
JAMMU AND KASHMIR,99549,38,1440,2276,1365600,31-Mar-14
JHARKHAND,156219,55,1725,143,85800,31-Mar-14
KARNATAKA,3115480,598,15160,57479,34483800,31-Mar-14
KERALA,1525605,230,7885,26056,15633600,31-Mar-14
MADHYA PRADESH,5392581,2695,85985,34994,20996400,31-Mar-14
MAHARASHTRA,6130487,2975,99026.5,38433,23059800,31-Mar-14
MANIPUR,22262,0,0,563,337800,31-Mar-14
MEGHALAYA,11505,0,0,0,0,31-Mar-14
MIZORAM,4363,0,0,0,0,31-Mar-14
NAGALAND,7917,0,0,0,0,31-Mar-14
ORISSA,709760,256,9410,9749,5849400,31-Mar-14
PUDUCHERRY,80499,103,3210,1677,1006200,31-Mar-14
PUNJAB,106804,33,1125,1028,1131000,31-Mar-14
RAJASTHAN,2364287,2666,83227,37956,45924900,31-Mar-14
SIKKIM,2271,1,30,2556,1533600,31-Mar-14
TAMIL NADU,645897,1152,45090,129853,77911800,31-Mar-14
TRIPURA,44391,0,0,0,0,31-Mar-14
UTTAR PRADESH,4101818,1251,43302.5,9868,5920800,31-Mar-14
UTTARAKHAND,667097,1520,48034.5,-2504,-3355800,31-Mar-14
WEST BENGAL,739666,158,6795,65061,39036600,31-Mar-14
AANDN ISLANDS,1675,0,0,0,0,31-Mar-14
DADRA AND N HAVELI,466,0,0,0,0,31-Mar-14
DAMAN AND DIU,214,0,0,0,0,31-Mar-14
LAKSHADWEEP,203,0,0,0,0,31-Mar-14
ANDHRA PRADESH,473745,4851,166380,442677,513395,01-Jun-13
ARUNACHAL PRADESH,46,0,0,0,0,01-Jun-13
ASSAM,32915,111,6090,0,0,01-Jun-13
BIHAR,55431,297,9135,6514,3908,01-Jun-13
CHANDIGARH,0,0,0,0,0,01-Jun-13
CHHATTISGARH,501361,946,29065,12021,7213,01-Jun-13
DELHI,2921,0,0,0,0,01-Jun-13
GOA,0,19,615,0,0,01-Jun-13
GUJARAT,18221,1110,36345,7964,4778,01-Jun-13
HARYANA,0,14,435,1013,1126,01-Jun-13
HIMACHAL PRADESH,5517,25,1320,69,50,01-Jun-13
JAMMU AND KASHMIR,72,102,3210,0,0,01-Jun-13
JHARKHAND,50067,15,495,50,30,01-Jun-13
KARNATAKA,98756,1275,44570,51820,31092,01-Jun-13
KERALA,50212,251,8095,35233,21140,01-Jun-13
MADHYA PRADESH,26063,2130,69045,30872,18523,01-Jun-13
MAHARASHTRA,345575,1913,65402,87471,52483,01-Jun-13
MANIPUR,0,0,0,0,0,01-Jun-13
MEGHALAYA,1812,0,0,0,0,01-Jun-13
MIZORAM,0,0,0,0,0,01-Jun-13
NAGALAND,0,0,0,0,0,01-Jun-13
ORISSA,5464,165,7220,2151,1291,01-Jun-13
PUDUCHERRY,1287,42,1260,2040,1224,01-Jun-13
PUNJAB,905,15,450,766,919,01-Jun-13
RAJASTHAN,1837,1919,60300,12801,15345,01-Jun-13
SIKKIM,0,0,0,0,0,01-Jun-13
TAMIL NADU,155246,880,33645,43067,25840,01-Jun-13
TRIPURA,0,0,0,0,0,01-Jun-13
UTTAR PRADESH,36512,242,10790,750,450,01-Jun-13
UTTARAKHAND,46043,632,20685,21652,25982,01-Jun-13
WEST BENGAL,22759,194,7425,932,559,01-Jun-13
AANDN ISLANDS,0,0,0,0,0,01-Jun-13
DADRA AND N HAVELI,0,0,0,0,0,01-Jun-13
DAMAN AND DIU,0,0,0,0,0,01-Jun-13
LAKSHADWEEP,0,0,0,0,0,01-Jun-13
ANDHRA PRADESH,1177674,25445,828467,1383316,944825,30-Sep-13
ARUNACHAL PRADESH,470,0,0,0,0,30-Sep-13
ASSAM,29198,130,7155,151,91,30-Sep-13
BIHAR,83731,549,16620,6091,3655,30-Sep-13
CHANDIGARH,79,0,0,0,0,30-Sep-13
CHHATTISGARH,117,1169,22135,63861,38390,30-Sep-13
DELHI,28,25,1280,299,179,30-Sep-13
GOA,120,26,1095,533,320,30-Sep-13
GUJARAT,55288,860,29540,17209,10325,30-Sep-13
HARYANA,6093,16,545,1545,1876,30-Sep-13
HIMACHAL PRADESH,12638,19,855,818,717,30-Sep-13
JAMMU AND KASHMIR,788,134,4095,346,208,30-Sep-13
JHARKHAND,64919,67,2040,49,29,30-Sep-13
KARNATAKA,263730,3178,107178,15995,9597,30-Sep-13
KERALA,68434,346,11345,32911,19747,30-Sep-13
MADHYA PRADESH,420825,2360,75835,24237,14303,30-Sep-13
MAHARASHTRA,285536,2647,88955,145371,87223,30-Sep-13
MANIPUR,221,2,120,0,0,30-Sep-13
MEGHALAYA,10250,0,0,0,0,30-Sep-13
MIZORAM,192,0,0,0,0,30-Sep-13
NAGALAND,350,0,0,0,0,30-Sep-13
ORISSA,239454,458,16035,51164,30698,30-Sep-13
PUDUCHERRY,1958,90,2790,10637,6382,30-Sep-13
PUNJAB,2888,10,450,1744,2090,30-Sep-13
RAJASTHAN,500124,3249,97830,43698,52453,30-Sep-13
SIKKIM,0,0,0,0,0,30-Sep-13
TAMIL NADU,215286,1420,57825,43366,26020,30-Sep-13
TRIPURA,381,2,120,0,0,30-Sep-13
UTTAR PRADESH,957948,2108,72327.5,4264,2558,30-Sep-13
UTTARAKHAND,808,590,19450,1162,1380,30-Sep-13
WEST BENGAL,4209,174,8115,904,542,30-Sep-13
AANDN ISLANDS,0,0,0,0,0,30-Sep-13
DADRA AND N HAVELI,0,0,0,0,0,30-Sep-13
DAMAN AND DIU,0,0,0,0,0,30-Sep-13
LAKSHADWEEP,0,0,0,0,0,30-Sep-13
ANDHRA PRADESH,436031,15660,513195,223056,258464280,30-Sep-14
ARUNACHAL PRADESH,0,0,0,0,0,30-Sep-14
ASSAM,9223,159,9427,922,553200,30-Sep-14
BIHAR,73413,157,6270,8358,5014800,30-Sep-14
CHANDIGARH,0,0,0,0,0,30-Sep-14
CHHATTISGARH,76480,342,10485,7410,4446000,30-Sep-14
DELHI,0,22,1260,20,12000,30-Sep-14
GOA,208,10,290,496,297600,30-Sep-14
GUJARAT,90509,1246,42140,11575,6945000,30-Sep-14
HARYANA,100,30,945,1533,1751400,30-Sep-14
HIMACHAL PRADESH,2854,16,890,1396,1425300,30-Sep-14
JAMMU AND KASHMIR,1559,33,1000,220,132000,30-Sep-14
JHARKHAND,56957,34,1275,79,47400,30-Sep-14
KARNATAKA,400725,1429,46255,20950,17342400,30-Sep-14
KERALA,23794,316,10250,160033,96019800,30-Sep-14
MADHYA PRADESH,568,1678,53370,11504,6902400,30-Sep-14
MAHARASHTRA,64524,2597,86700,61967,37180200,30-Sep-14
MANIPUR,1486,0,0,0,0,30-Sep-14
MEGHALAYA,1907,0,0,0,0,30-Sep-14
MIZORAM,0,1,20,0,0,30-Sep-14
NAGALAND,0,0,0,0,0,30-Sep-14
ORISSA,141201,362,13010,13889,8333400,30-Sep-14
PUDUCHERRY,6686,122,3660,16016,9601200,30-Sep-14
PUNJAB,452016,16,690,2220,2687400,30-Sep-14
RAJASTHAN,459764,2380,74542,32702,37849500,30-Sep-14
SIKKIM,0,0,0,17,10200,30-Sep-14
TAMIL NADU,187842,1195,43350,34837,20902200,30-Sep-14
TRIPURA,200,6,188,0,0,30-Sep-14
UTTAR PRADESH,289611,431,17662,2076,1245600,30-Sep-14
UTTARAKHAND,35411,429,12615,14644,17572800,30-Sep-14
WEST BENGAL,17845,225,8925,22364,13418400,30-Sep-14
ANDHRA PRADESH,498879,18832,610875.5,136226,104541600,31-Dec-13
ARUNACHAL PRADESH,0,0,0,0,0,31-Dec-13
ASSAM,37775,163,9000,332,199200,31-Dec-13
BIHAR,51600,202,6405,3787,2272200,31-Dec-13
CHANDIGARH,43,0,0,0,0,31-Dec-13
CHHATTISGARH,42069,523,12960,54179,32433600,31-Dec-13
DELHI,40,7,250,0,0,31-Dec-13
GOA,98,9,270,1,600,31-Dec-13
GUJARAT,96922,1254,40630,54106,32463200,31-Dec-13
HARYANA,146,20,600,1491,1038600,31-Dec-13
HIMACHAL PRADESH,13934,8,585,992,1008300,31-Dec-13
JAMMU AND KASHMIR,513,77,2370,292,175200,31-Dec-13
JHARKHAND,25296,44,1365,818,490800,31-Dec-13
KARNATAKA,140324,1834,68279,9510,5706000,31-Dec-13
KERALA,48856,119,4235,15568,9340800,31-Dec-13
MADHYA PRADESH,334217,2433,77625,23311,14226000,31-Dec-13
MAHARASHTRA,456549,2531,86680,60839,36503400,31-Dec-13
MANIPUR,2161,0,0,0,0,31-Dec-13
MEGHALAYA,0,0,0,0,0,31-Dec-13
MIZORAM,0,0,0,0,0,31-Dec-13
NAGALAND,172,0,0,0,0,31-Dec-13
ORISSA,41748,247,9340,8831,5298600,31-Dec-13
PUDUCHERRY,11181,65,1950,1527,916200,31-Dec-13
PUNJAB,1962,12,570,1330,1590600,31-Dec-13
RAJASTHAN,113087,2403,79390,62575,73439400,31-Dec-13
SIKKIM,131,4,120,0,0,31-Dec-13
TAMIL NADU,198609,1257,53005,73261,43956600,31-Dec-13
TRIPURA,0,0,0,0,0,31-Dec-13
UTTAR PRADESH,20041,1097,35685,3037,1822200,31-Dec-13
UTTRANCHAL,338,481,15435,3374,4000200,31-Dec-13
WEST BENGAL,7321,123,5325,1181,708600,31-Dec-13
ANDHRA PRADESH,299408,23615,765678,74149,56904500,31-Mar-15
ARUNACHAL PRADESH,15073,0,0,0,0,31-Mar-15
ASSAM,234847,171,10216,1387,635400,31-Mar-15
BIHAR,57089,198,6030,3573,2143800,31-Mar-15
CHANDIGARH,0,0,0,0,0,31-Mar-15
CHHATTISGARH,5271,4225,88249,13915,7395000,31-Mar-15
DELHI,16745,24,1170,260,156000,31-Mar-15
GOA,1216,24,830,508,304800,31-Mar-15
GUJARAT,23736,851,33392,127336,76401600,31-Mar-15
HARYANA,49781,46,1875,2289,2605800,31-Mar-15
HIMACHAL PRADESH,6971,11,400,919,509400,31-Mar-15
JAMMU AND KASHMIR,554,38,1295,2261,1356600,31-Mar-15
JHARKHAND,34668,89,2715,227,173700,31-Mar-15
KARNATAKA,646455,1136,36330,18820,11276100,31-Mar-15
KERALA,1019476,147,5190,47884,22692000,31-Mar-15
MADHYA PRADESH,180786,1574,99230,11602,7317000,31-Mar-15
MAHARASHTRA,87393,3227,106877,69985,41847600,31-Mar-15
MANIPUR,5131,5,220,0,0,31-Mar-15
MEGHALAYA,483,1,60,0,0,31-Mar-15
MIZORAM,350,3,107,0,0,31-Mar-15
NAGALAND,0,0,0,0,0,31-Mar-15
ORISSA,44677,292,11610,28961,16667400,31-Mar-15
PUDUCHERRY,20313,140,4725,4382,2629200,31-Mar-15
PUNJAB,6397,34,1365,3036,3511800,31-Mar-15
RAJASTHAN,62135,1986,61320,64700,76559100,31-Mar-15
SIKKIM,1,2,60,658,2400,31-Mar-15
TAMIL NADU,378864,1259,45175,87108,52264800,31-Mar-15
TRIPURA,774,11,202,0,0,31-Mar-15
UTTAR PRADESH,7603,2698,127190,7296,4450200,31-Mar-15
UTTARAKHAND,3043,723,22310,630,1108800,31-Mar-15
WEST BENGAL,66033,222,9406,48099,29251800,31-Mar-15
AANDN ISLANDS,2,0,0,0,0,31-Mar-15
DADRA AND N HAVELI,16,0,0,0,0,31-Mar-15
DAMAN AND DIU,0,0,0,0,0,31-Mar-15
LAKSHADWEEP,0,0,0,0,0,31-Mar-15
